"goods_nomenclature_sid","goods_nomenclature_item_id","producline_suffix","validity_start_date","validity_end_date","description","number_indents","goods_nomenclature_description_period_sid","desc_validity_start_date","desc_validity_end_date","nice_description","hs_chapter","hs_section","node","leaf","significant_digits"
94091,"0102295921","10",2012-01-01 00:00:00,,Of the Schwyz and Fribourg breeds,7,116358,2012-01-01 00:00:00,, - - - - - - - Of the Schwyz and Fribourg breeds,"01",1,"0102295921","0",10
94092,"0102295921","80",2012-01-01 00:00:00,,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg",8,116359,2012-01-01 00:00:00,," - - - - - - - - Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg","01",1,"0102295921","1",10
94093,"0102295929","80",2012-01-01 00:00:00,,Other,8,116360,2012-01-01 00:00:00,, - - - - - - - - Other,"01",1,"0102295929","1",10
94094,"0102295931","10",2012-01-01 00:00:00,,Of the spotted Simmental breed,7,116361,2012-01-01 00:00:00,, - - - - - - - Of the spotted Simmental breed,"01",1,"0102295931","0",10
94095,"0102295931","80",2012-01-01 00:00:00,,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg",8,116362,2012-01-01 00:00:00,," - - - - - - - - Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg","01",1,"0102295931","1",10
94096,"0102295939","80",2012-01-01 00:00:00,,Other,8,116363,2012-01-01 00:00:00,, - - - - - - - - Other,"01",1,"0102295939","1",10
94097,"0102295991","10",2012-01-01 00:00:00,,Other,7,116364,2012-01-01 00:00:00,, - - - - - - - Other,"01",1,"0102295991","0",10
94098,"0102295991","80",2012-01-01 00:00:00,,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg",8,116365,2012-01-01 00:00:00,," - - - - - - - - Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg","01",1,"0102295991","1",10
94099,"0102295999","80",2012-01-01 00:00:00,,Other,8,116366,2012-01-01 00:00:00,, - - - - - - - - Other,"01",1,"0102295999","1",10
94100,"0102296100","10",2012-01-01 00:00:00,,Cows,5,121709,2014-01-01 00:00:00,, - - - - - Cows,"01",1,"01022961","0",8
94101,"0102296100","80",2012-01-01 00:00:00,,For slaughter,6,121710,2014-01-01 00:00:00,, - - - - - - For slaughter,"01",1,"01022961","1",8
94102,"0102296900","80",2012-01-01 00:00:00,,Other,6,121711,2014-01-01 00:00:00,, - - - - - - Other,"01",1,"01022969","0",8
